fuel_type,MW,year,co2
hard coal,855,2005,3182333
hard coal,855,2006,2566424
hard coal,855,2007,3129432
hard coal,855,2008,2529833
hard coal,855,2009,2348914
hard coal,855,2010,2224830
hard coal,855,2011,2539491
hard coal,855,2012,2836945
hard coal,855,2013,3106423
hard coal,855,2014,2115746
hard coal,855,2015,1661245
hard coal,855,2016,1919622
hard coal,855,2017,1250276
hard coal,855,2018,1260650
hard coal,855,2019,1009162
lignite,3356,2005,29734760
lignite,3356,2006,27386683
lignite,3356,2007,31252670
lignite,3356,2008,24866493
lignite,3356,2009,26284276
lignite,3356,2010,28068288
lignite,3356,2011,28629755
lignite,3356,2012,27918882
lignite,3356,2013,29474441
lignite,3356,2014,27248925
lignite,3356,2015,27330240
lignite,3356,2016,24831278
lignite,3356,2017,27174168
lignite,3356,2018,25927543
lignite,3356,2019,18425447
hard coal,780,2005,3388560
hard coal,780,2006,4351049
hard coal,780,2007,4112952
hard coal,780,2008,2447819
hard coal,780,2009,3465836
hard coal,780,2010,3046595
hard coal,780,2011,3149133
hard coal,780,2012,3152826
hard coal,780,2013,3471635
hard coal,780,2014,2945802
hard coal,780,2015,2744777
hard coal,780,2016,2823880
hard coal,780,2017,1639651
hard coal,780,2018,1586512
hard coal,780,2019,704134
hard coal,100,2005,622940
hard coal,100,2006,379469
hard coal,100,2007,504558
hard coal,100,2008,546862
hard coal,100,2009,413406
hard coal,100,2010,616421
hard coal,100,2011,512118
hard coal,100,2012,393809
hard coal,100,2013,440865
hard coal,100,2014,480837
hard coal,100,2015,292414
hard coal,100,2016,504094
hard coal,100,2017,508992
hard coal,100,2018,419676
hard coal,100,2019,369269
hard coal,600,2005,3099767
hard coal,600,2006,3068331
hard coal,600,2007,2936979
hard coal,600,2008,2955992
hard coal,600,2009,2658065
hard coal,600,2010,3227384
hard coal,600,2011,2587358
hard coal,600,2012,2555705
hard coal,600,2013,2992885
hard coal,600,2014,3036494
hard coal,600,2015,2976143
hard coal,600,2016,2531294
hard coal,600,2017,2491619
hard coal,600,2018,2151083
hard coal,600,2019,1577107
hard coal,780,2005,3589954
hard coal,780,2006,2858736
hard coal,780,2007,3878704
hard coal,780,2008,2460862
hard coal,780,2009,2345742
hard coal,780,2010,1298652
hard coal,780,2011,1585706
hard coal,780,2012,2686067
hard coal,780,2013,2861582
hard coal,780,2014,2060120
hard coal,780,2015,2174385
hard coal,780,2016,1843866
hard coal,780,2017,508496
hard coal,780,2018,37768
hard coal,780,2019,79358
lignite,1868,2005,11291518
lignite,1868,2006,12407946
lignite,1868,2007,11741943
lignite,1868,2008,11385504
lignite,1868,2009,12772008
lignite,1868,2010,12450819
lignite,1868,2011,10898563
lignite,1868,2012,10762080
lignite,1868,2013,11728509
lignite,1868,2014,11904182
lignite,1868,2015,10293959
lignite,1868,2016,10781907
lignite,1868,2017,11376121
lignite,1868,2018,11711105
lignite,1868,2019,8943673
lignite,2582,2005,15811790
lignite,2582,2006,15511928
lignite,2582,2007,16349689
lignite,2582,2008,15442090
lignite,2582,2009,15248818
lignite,2582,2010,15117464
